"Very tasty Food, also the service is very fast, i have never seen such fast service .and the food is also very yummy,",1
Food was good in taste unlike other hotels. They serve fast after order. Cleaning was great here. There was front side parking available.,1
"They serves good, pure and fresh food with quality centric approach. Very good restaurant . All items are with very good taste.",1
The property is located on the main road and is well known in the locality. The taste is consistent and service is fast. Also the rates are cheap and worth trying.,1
I am regular guest of this hotel but my recent visit was comfort because of nice service.,1
It was a awesome experience to have a dinner at this restaurant. It is reasonable as well as serving good quality food.,1
I would recommend this restaurant for family as well as business lunch/dinner.,1
Taste-wise the food is certainly above average. ,1
Food quality is good with reasonable price. Seating arrangement is pretty good.,1
good service,1
not recommend,0
tasteless food,0
delicious food,1
Worth to money,1
timely service,1
taste is not good,0
"Very delicious food, something new variety. Must visit",1
Worst service and arrogant people.,0
Worst Experience Ever. They Even Dont Know How To Talk.,0
"""Best place for dinner with family Punjabi Food and Best parcel service",1
"""Good food served staff was good at their professionalism""",1
"""Good services and best family restaurant at a reliable price.""",1
The food quality here has decreased a lot and i have found cockroach 5 times there which is really disguisting!!🤮🤢🤢,0
Awesome food. Quality and quantity also good. We went to this place many times because of their good service and reliable pricing of food.,1
Sitting place is maintain good and also service too. And the food is delicious specially love their paneer sabjis.,1
Worst food.....I've ordered fix lunch to give treat to my friends but it made me feel embarrassing cz the food I received was not fresh as well Butter milk was pathetic..,0
Food is really good. Service is great. One of the fast food service along with taste. Have visited many times and all the time quality and taste is maintained.,1
It was a pleasant experience to dine here. The food was tasty and served in a good condition. The employees are friendly and it was enjoyable time with them,1
Special Tea is treat for milk tea lovers.. I enjoyed it a lot.. Food is also decent.. It’s a good restaurant.. yummy.. it’s clean restaurant too..,1
It's a mid level hotel having open place and AC dining/lunch hall too. Food is good. Parking facility is available,1
This one is near to my working place. This hotel is one of my Family's favourite hotel. Delicious Food and Service is good.,1
And to the horrible experience the food was too bad in taste and the curry tasted awful..,0
Hall AC was not working. and no proper parking facility,0
" No proper arrangements were made for Guests, Poor Interior, Washroom was same like Public Toilets; Dirty and Smelling Bad, Food was bit stale",0
I had a small get together of around 23 people here. Had a very bad experience. Found hair in starter which is ridiculous,0
"Rooms not hygienic, pillows are dirty and torn on one side, blanket without any cover..",0
"Breakfast was awful.. poha not eatable due to hard grains, veg sandwich was smelling a bit gross",0
breakfast was bad and lunch menu was very disappointing,0
morningtime beakfast was not prepared and was much late from its opening.,0
menus were poor... did not mentioned all details which becomes for foreign customer.,0
 Outdated Innova was provided by the hotel for local meetings. Need to improve their service,0
 Food price is too high.,0
It's food is so tasty & delicious,1
Manipulation of customers by the manager of restaurants.. Poor service quality of the hotel.,0
Very Very Bad Experience.,0
Worst Food ,0
Delicious and mouth watering foods ,1
Too good,1
"Rude and unprofessional staff, especially the managers. ",0
Great place to have food. Great hospitality.,1
"Never had such bad food . And to add to the misery, waiters are very rude, they do not how to talk to a customer.",0
Quality of food is horrible.,0
i ordered food and the delivered Food had no taste. waste of money and spoil your moment.,0
"Super taste. Kind and benevolent serving staff. Of course, nice food. I really feel happy to visit here. and i surely would revisit here.",1
"Good Food As well As Staff also Politely, Ambience also good",1
Very poor sanitation. Poor service. ugly food. I do not recommend for dinner with family. Some of my family members develop gastric problems . Poor hygiene of the dining ,0
Best food and peaceful place,1
 it’s service is very worst,0
Nice food. Nice service. Nice place.,1
this my favourite restaurant in my town for delicious veg food.,1
“No more...never...if you don't have any other choices... Stay hungry...”,0
The food quality is very very bad had order some soup it was so terrible . They need to change the chef at the earliest. ,0
"Visited here for dinner. Simple yet superb food . Especially pizza and starters. were too yummy. prompt service , reasonable rates .",1
“Good place for varieties of dishes”,1
"Bad food quality, wastage of money, can not recommend",0
Nice 👌 place... Tasty food... Supportive staff... Clean restaurant...,1
Poor quality service.We had to wait for longer than 30 minutes before someone noticed us and the restaurant was practically empty at that Time . The food was mediocre too.Never recommending this to anybody.,0
Yaa Best eating dinner🍽🍽🍽🍽 Best place . Nice place📍🚩,1
"not a quality one as the name boasts. the butter nan was undercooked, too thick and chewy.. and butter chicken didn't look or taste like butter chicken.. Poor Quality food",0
fresh food,1
good quality,1
bad smell restaurant,0
bad services,0
food is not good,0
packing is not good. the food was leaking ,0
flavourless food,0
packaging issue food was leaking from everywhere,0
too spicy need to improve and make it less spicy not everyone can eat this much spicy,0
uncoporative staff,0
salad not provide need to improve,0
nice thali vessels were hygiene and service was good,1
nice food all,1
average quality need to improve,0
taste is average need to improve,0
not get the full order also the orders were misplaced service needs to be improved ,0
food was Cold can not recommend,0
tasty food,1
no option for bread limited things available can not recommend,0
rude staff,0
nice place,1
